Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet1	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
38	-8.411209	3.4605699	-3.5395422	-24.6577	-5.7783155	1.7213236	-2.8946028	-8.817909	50.0	50.0	151999	-8.003876	2.3495502	6.030468	-20.820927	-8.0039015	2.3493347	2.90856	-21.417011	7.732533	1.8239558	1389.7781779766083
39	-8.342078	3.3762627	-3.5081773	-25.31823	-6.177285	1.3993905	-2.923941	-7.9393053	50.0	50.0	155999	-8.057317	2.3429277	6.470561	-20.973373	-8.057103	2.3445983	6.445763	-20.508364	7.7831573	1.8544294	1427.9940249919891
40	-7.932643	2.423822	-3.2340176	-17.2287	-5.8276186	2.414824	-2.1907415	-10.790353	50.0	50.0	159999	-8.145905	2.3178887	7.438484	-20.969635	-8.145912	2.319359	9.969554	-21.412714	7.8688107	1.9135166	1465.7541193962097
41	-7.7910194	2.3821034	-3.952354	-18.66556	-6.163993	2.1872914	-3.0264192	-11.399608	50.0	50.0	163999	-8.165901	2.3007708	5.969224	-22.07234	-8.165849	2.3014581	5.079062	-21.69776	7.894831	1.960677	1503.4094750881195
42	-7.7440643	2.0597532	-2.6137793	-15.582343	-6.205209	2.2846513	-2.2945173	-10.483703	50.0	50.0	167999	-8.14747	2.3243947	4.5014277	-21.443161	-8.147623	2.326846	10.808997	-21.837122	7.876273	1.9466499	1541.1434681415558
43	-7.517892	2.1306305	-2.7865412	-12.433324	-7.212883	2.0579922	-4.9847827	-12.545617	50.0	50.0	171999	-8.165373	2.340947	6.218106	-21.352976	-8.165369	2.3413227	7.4446344	-20.925356	7.883601	1.9694549	1578.9194421768188
44	-8.095766	2.2225132	-2.198219	-12.324466	-6.6622744	1.6244167	-3.4113038	-9.004628	50.0	50.0	175999	-8.1381	2.3076658	6.7501717	-20.382614	-8.137941	2.309001	6.7109575	-20.83163	7.8609524	1.992981	1616.9149851799011
45	-7.991459	2.5974603	-3.355922	-15.969358	-6.2542324	1.805748	-2.6692839	-8.801695	50.0	50.0	179999	-8.102425	2.264579	5.149124	-20.786541	-8.10239	2.2659283	4.1905155	-21.21776	7.8249903	1.9642504	1654.824247121811
46	-8.500319	2.331133	-2.7338297	-17.301012	-5.075948	2.1878977	-1.6238321	-8.233993	50.0	50.0	183999	-8.127145	2.259219	16.19482	-21.716518	-8.127215	2.2600813	3.8320365	-20.010891	7.852482	2.0338895	1693.121686220169
47	-8.252971	2.7232842	-2.730979	-18.287294	-7.036106	2.2302706	-4.0121655	-10.785781	50.0	50.0	187999	-8.149505	2.2684531	8.992759	-19.156517	-8.149572	2.2687178	8.586381	-19.911844	7.8800774	2.0039358	1731.0723979473114
